# Generation,s,h1,h2,h3,mu,nu,alpha,g0,g1,g2,G0,G1,G2,G3,G4
0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,5.000000000000000000e-01,0.000000000000000000e+00,5.000000000000000000e-01,2.500000000000000000e-01,0.000000000000000000e+00,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01
1,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,3.333333333333333148e-01,3.333333333333333148e-01,3.333333333333333148e-01,1.111111111111111049e-01,2.222222222222222099e-01,3.333333333333333148e-01,2.222222222222222099e-01,1.111111111111111049e-01
2,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,2.777777777777777901e-01,4.444444444444444198e-01,2.777777777777777901e-01,7.716049382716050342e-02,2.469135802469135665e-01,3.518518518518518601e-01,2.469135802469135665e-01,7.716049382716050342e-02
3,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,2.592592592592592449e-01,4.814814814814814548e-01,2.592592592592592449e-01,6.721536351165979806e-02,2.496570644718792698e-01,3.662551440329217534e-01,2.496570644718792698e-01,6.721536351165979806e-02
4,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,2.530864197530864335e-01,4.938271604938271331e-01,2.530864197530863779e-01,6.405273586343546155e-02,2.499618960524310207e-01,3.719707361682670355e-01,2.499618960524309652e-01,6.405273586343543379e-02
5,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,2.510288065843621630e-01,4.979423868312757295e-01,2.510288065843621075e-01,6.301546173516911487e-02,2.499957662280479220e-01,3.739775440735660372e-01,2.499957662280478665e-01,6.301546173516908711e-02
6,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,2.503429355281207580e-01,4.993141289437585950e-01,2.503429355281207025e-01,6.267158536883682407e-02,2.499995295808942752e-01,3.746577701005380234e-01,2.499995295808942197e-01,6.267158536883679631e-02
7,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,2.501143118427069378e-01,4.997713763145861243e-01,2.501143118427068268e-01,6.255716898855084862e-02,2.499999477312104812e-01,3.748857665604772293e-01,2.499999477312103702e-01,6.255716898855079311e-02
8,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,2.500381039475690348e-01,4.999237921048620414e-01,2.500381039475688683e-01,6.251905342569533119e-02,2.499999941923567726e-01,3.749619047638959035e-01,2.499999941923566060e-01,6.251905342569524793e-02
9,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,2.500127013158564004e-01,4.999745973682873101e-01,2.500127013158561784e-01,6.250635081925162706e-02,2.499999993547063482e-01,3.749872996520842161e-01,2.499999993547061261e-01,6.250635081925151604e-02
