# Generation,s,h1,h2,h3,mu,nu,beta,gamma,g00,g01,g10,g11,G00,G01,G02,G10,G11,G12,G20,G21,G22
0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e-01,2.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.500000000000000000e-01
1,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,3.750000000000000000e-01,1.250000000000000000e-01,1.250000000000000000e-01,3.750000000000000000e-01,1.406250000000000000e-01,9.375000000000000000e-02,1.562500000000000000e-02,9.375000000000000000e-02,3.125000000000000000e-01,9.375000000000000000e-02,1.562500000000000000e-02,9.375000000000000000e-02,1.406250000000000000e-01
2,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,3.125000000000000000e-01,1.875000000000000000e-01,1.875000000000000000e-01,3.125000000000000000e-01,9.765625000000000000e-02,1.171875000000000000e-01,3.515625000000000000e-02,1.171875000000000000e-01,2.656250000000000000e-01,1.171875000000000000e-01,3.515625000000000000e-02,1.171875000000000000e-01,9.765625000000000000e-02
3,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,2.812500000000000000e-01,2.187500000000000000e-01,2.187500000000000000e-01,2.812500000000000000e-01,7.910156250000000000e-02,1.230468750000000000e-01,4.785156250000000000e-02,1.230468750000000000e-01,2.539062500000000000e-01,1.230468750000000000e-01,4.785156250000000000e-02,1.230468750000000000e-01,7.910156250000000000e-02
4,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,2.656250000000000000e-01,2.343750000000000000e-01,2.343750000000000000e-01,2.656250000000000000e-01,7.055664062500000000e-02,1.245117187500000000e-01,5.493164062500000000e-02,1.245117187500000000e-01,2.509765625000000000e-01,1.245117187500000000e-01,5.493164062500000000e-02,1.245117187500000000e-01,7.055664062500000000e-02
5,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,2.578125000000000000e-01,2.421875000000000000e-01,2.421875000000000000e-01,2.578125000000000000e-01,6.646728515625000000e-02,1.248779296875000000e-01,5.865478515625000000e-02,1.248779296875000000e-01,2.502441406250000000e-01,1.248779296875000000e-01,5.865478515625000000e-02,1.248779296875000000e-01,6.646728515625000000e-02
6,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,2.539062500000000000e-01,2.460937500000000000e-01,2.460937500000000000e-01,2.539062500000000000e-01,6.446838378906250000e-02,1.249694824218750000e-01,6.056213378906250000e-02,1.249694824218750000e-01,2.500610351562500000e-01,1.249694824218750000e-01,6.056213378906250000e-02,1.249694824218750000e-01,6.446838378906250000e-02
7,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,2.519531250000000000e-01,2.480468750000000000e-01,2.480468750000000000e-01,2.519531250000000000e-01,6.348037719726562500e-02,1.249923706054687500e-01,6.152725219726562500e-02,1.249923706054687500e-01,2.500152587890625000e-01,1.249923706054687500e-01,6.152725219726562500e-02,1.249923706054687500e-01,6.348037719726562500e-02
8,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,2.509765625000000000e-01,2.490234375000000000e-01,2.490234375000000000e-01,2.509765625000000000e-01,6.298923492431640625e-02,1.249980926513671875e-01,6.201267242431640625e-02,1.249980926513671875e-01,2.500038146972656250e-01,1.249980926513671875e-01,6.201267242431640625e-02,1.249980926513671875e-01,6.298923492431640625e-02
9,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,2.504882812500000000e-01,2.495117187500000000e-01,2.495117187500000000e-01,2.504882812500000000e-01,6.274437904357910156e-02,1.249995231628417969e-01,6.225609779357910156e-02,1.249995231628417969e-01,2.500009536743164062e-01,1.249995231628417969e-01,6.225609779357910156e-02,1.249995231628417969e-01,6.274437904357910156e-02
10,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,2.502441406250000000e-01,2.497558593750000000e-01,2.497558593750000000e-01,2.502441406250000000e-01,6.262212991714477539e-02,1.249998807907104492e-01,6.237798929214477539e-02,1.249998807907104492e-01,2.500002384185791016e-01,1.249998807907104492e-01,6.237798929214477539e-02,1.249998807907104492e-01,6.262212991714477539e-02
11,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,2.501220703125000000e-01,2.498779296875000000e-01,2.498779296875000000e-01,2.501220703125000000e-01,6.256105005741119385e-02,1.249999701976776123e-01,6.243897974491119385e-02,1.249999701976776123e-01,2.500000596046447754e-01,1.249999701976776123e-01,6.243897974491119385e-02,1.249999701976776123e-01,6.256105005741119385e-02
12,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,2.500610351562500000e-01,2.499389648437500000e-01,2.499389648437500000e-01,2.500610351562500000e-01,6.253052130341529846e-02,1.249999925494194031e-01,6.246948614716529846e-02,1.249999925494194031e-01,2.500000149011611938e-01,1.249999925494194031e-01,6.246948614716529846e-02,1.249999925494194031e-01,6.253052130341529846e-02
13,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,2.500305175781250000e-01,2.499694824218750000e-01,2.499694824218750000e-01,2.500305175781250000e-01,6.251525972038507462e-02,1.249999981373548508e-01,6.248474214226007462e-02,1.249999981373548508e-01,2.500000037252902985e-01,1.249999981373548508e-01,6.248474214226007462e-02,1.249999981373548508e-01,6.251525972038507462e-02
14,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,2.500152587890625000e-01,2.499847412109375000e-01,2.499847412109375000e-01,2.500152587890625000e-01,6.250762962736189365e-02,1.249999995343387127e-01,6.249237083829939365e-02,1.249999995343387127e-01,2.500000009313225746e-01,1.249999995343387127e-01,6.249237083829939365e-02,1.249999995343387127e-01,6.250762962736189365e-02
15,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,2.500076293945312500e-01,2.499923706054687500e-01,2.499923706054687500e-01,2.500076293945312500e-01,6.250381475547328591e-02,1.249999998835846782e-01,6.249618536094203591e-02,1.249999998835846782e-01,2.500000002328306437e-01,1.249999998835846782e-01,6.249618536094203591e-02,1.249999998835846782e-01,6.250381475547328591e-02
16,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,2.500038146972656250e-01,2.499961853027343750e-01,2.499961853027343750e-01,2.500038146972656250e-01,6.250190736318472773e-02,1.249999999708961695e-01,6.249809266591910273e-02,1.249999999708961695e-01,2.500000000582076609e-01,1.249999999708961695e-01,6.249809266591910273e-02,1.249999999708961695e-01,6.250190736318472773e-02
